Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
4361,2016,GARFIELD,KREMLIN-HILLSDALE,24I018,1305,98632.40557,100553.9642,0.038626609,0.047509579,0.06547619,317,1,0,0.29022082,0.626708728,0.083070452,0.3912
4362,2016,GARFIELD,CHISHOLM,24I042,4781,89661.5942,64523.5099,0.034965035,0.072299465,0.177238806,341,4.333333333,1,0.265558912,0.662839879,0.071601208,0.303
4363,2016,GARFIELD,GARBER,24I047,1954,63599.36548,123214.7988,0.040860215,0.092630502,0.159624413,31.41666667,1.416666667,0,0.190684134,0.72125182,0.088064047,0.5146
4364,2016,GARFIELD,PIONEER-PLEASANT VALE,24I056,2681,54854.50145,177150.6066,0.060995185,0.187243566,0.415647922,39,1.428571429,0,0.132063882,0.676904177,0.191031941,0.5971
4365,2016,GARFIELD,ENID,24I057,45136,59926.04101,36582.4463,0.059436332,0.135525352,0.332074046,44.87777778,2.1,2,0.216888768,0.63652434,0.146586891,0.7253
4366,2016,GARFIELD,DRUMMOND,24I085,1202,64025.05447,42484.664,0.04302926,0.178036606,0.227941176,307,1,0,0.192959583,0.654498044,0.152542373,0.4886
4367,2016,GARFIELD,COVINGTON-DOUGLAS,24I094,1713,56866.77165,101810.4652,0.030927835,0.167542323,0.344262295,266,1,0,0.195652174,0.6875,0.116847826,0.6992
4368,2016,GARVIN,WHITEBEAD,25C016,1524,67694.01869,33936.8346,0.016438356,0.132149901,0.28742515,,0,0,0.177242888,0.680525164,0.142231947,0.5821
4369,2016,GARVIN,STRATFORD,25I002,3553,46285.38056,20848.1536,0.032994924,0.229102167,0.232323232,39.88888889,2.055555556,0,0.17255075,0.686672551,0.140776699,0.6936
4370,2016,GARVIN,PAOLI,25I005,1159,53007.20721,29663.5933,0.015594542,0.151855047,0.184210526,77.33333333,1.666666667,0,0.192259675,0.707865169,0.099875156,0.7414
4371,2016,GARVIN,MAYSVILLE,25I007,2261,44954.49561,43523.6146,0.026806527,0.224734043,0.30212766,50.14285714,2,0,0.083879423,0.709698558,0.206422018,0.7521
4372,2016,GARVIN,LINDSAY,25I009,6123,59504.84071,63678.7141,0.050524679,0.157920792,0.253918495,180,2.857142857,0,0.122339124,0.741864448,0.135796428,0.5571
4373,2016,GARVIN,PAULS VALLEY,25I018,7036,52454.32053,31592.8887,0.056955471,0.210171479,0.351145038,38.6,2.085714286,1,0.178740837,0.641871496,0.179387667,0.6714
4374,2016,GARVIN,WYNNEWOOD,25I038,4582,54912.52759,133734.2495,0.041535226,0.157871397,0.310869565,50.78571429,1.428571429,0,0.164731723,0.710385943,0.124882334,0.5893
4375,2016,GARVIN,ELMORE CITY-PERNELL,25I072,3322,63596.59751,59418.6662,0.039109912,0.14978903,0.216049383,173.3333333,2.666666667,0,0.162267417,0.697533535,0.140199048,0.5942
4376,2016,GRADY,FRIEND,26C037,1086,83346.88995,51415.6534,0.012915129,0.074585635,0.262626263,,0,0,0.210199005,0.679104478,0.110696517,0.6371
4377,2016,GRADY,MIDDLEBERG,26C096,1551,82860.83189,68871.9594,0.010178117,0.085106383,0.183333333,,0,0,0.237010027,0.663628077,0.099361896,0.4901
4378,2016,GRADY,PIONEER,26C131,1373,62588.88889,26647.7126,0.066852368,0.20611799,0.220338983,193,1,0,0.130612245,0.657142857,0.212244898,0.4715
4379,2016,GRADY,CHICKASHA,26I001,16572,53210.10792,35495.3897,0.05451693,0.172592032,0.341033435,61.575,2.225,2,0.194243955,0.644171779,0.161584266,0.7418
4380,2016,GRADY,MINCO,26I002,2217,57835.19553,114376.4517,0.048181818,0.124041498,0.233766234,554,1,0,0.159974506,0.720203952,0.119821542,0.5686
4381,2016,GRADY,NINNEKAH,26I051,2894,69559.60265,47098.0717,0.042203147,0.166550765,0.392857143,77.85714286,2.714285714,0,0.129065041,0.716971545,0.153963415,0.6862
4382,2016,GRADY,ALEX,26I056,1461,61468.18951,281649.0333,0.0416,0.145790554,0.142857143,,0,0,0.140535373,0.724665392,0.134799235,0.7774
4383,2016,GRADY,RUSH SPRINGS,26I068,2885,47222.90352,48456.9695,0.04122807,0.160041841,0.322222222,286.5,2,0,0.151772341,0.653020469,0.195207189,0.63
4384,2016,GRADY,BRIDGE CREEK,26I095,7900,74057.31523,27332.1621,0.043019266,0.074719959,0.267395626,498,2,0,0.142830081,0.756203826,0.100966092,0.4625
4385,2016,GRADY,TUTTLE,26I097,9015,81664.28814,41140.6572,0.031620553,0.073445697,0.185185185,619.3333333,2,0,0.177521911,0.742567451,0.079910638,0.2713
4386,2016,GRADY,VERDEN,26I099,1385,61581.2253,35417.2879,0.03875969,0.082310469,0.181818182,,0,0,0.170506912,0.646313364,0.183179724,0.7148
4387,2016,GRADY,AMBER-POCASSET,26I128,1903,67741.82622,62023.0838,0.032432432,0.107724645,0.16,,0,0,0.214109926,0.682526661,0.103363413,0.6101
4388,2016,GRANT,MEDFORD,27I054,2037,66999.78118,360726.6572,0.043659044,0.099330932,0.324742268,19.85714286,2.714285714,0,0.238950276,0.671961326,0.089088398,0.6115
4389,2016,GRANT,POND CREEK-HUNTER,27I090,1468,61026.49007,184139.3007,0.045961003,0.103163686,0.268656716,72.4,2.4,0,0.212851406,0.65562249,0.131526104,0.5967
4390,2016,GRANT,DEER CREEK-LAMONT,27I095,822,80912.36842,154908.1576,0.037735849,0.091240876,0.4,,0,0,0.243986254,0.658075601,0.097938144,0.5193
4391,2016,GREER,MANGUM,28I001,3507,51240.81481,22423.0484,0.050679852,0.148115168,0.273170732,107.4285714,1.857142857,0,0.150189314,0.687000421,0.162810265,0.7221
4392,2016,GREER,GRANITE,28I003,2531,48355.76441,34289.0645,0.033766234,0.148148148,0.317365269,93,1.333333333,0,0.099029126,0.747087379,0.153883495,0.6487
4393,2016,HARMON,HOLLIS,29I066,2832,48638.40206,37926.1993,0.079378069,0.172553348,0.327536232,48.27272727,1.545454545,0,0.229058945,0.56204757,0.208893485,0.7458
4394,2016,HARPER,LAVERNE,30I001,2263,71709.91736,94620.3654,0.012003693,0.147149801,0.179282869,248,2.5,0,0.218666667,0.6,0.181333333,0.5504
4395,2016,HARPER,BUFFALO,30I004,1770,50268.47091,81714.8888,0.012150668,0.114450867,0.307142857,135,1,0,0.191878981,0.662420382,0.145700637,0.5963
4396,2016,HASKELL,WHITEFIELD,31C010,852,49962.04986,21265.2145,0.105,0.177856302,0.256097561,,0,0,0.167567568,0.637837838,0.194594595,0.6593
4397,2016,HASKELL,KINTA,31I013,1372,46937.11152,39504.299,0.100591716,0.223760933,0.357723577,204,1,0,0.122641509,0.699161426,0.178197065,1
4398,2016,HASKELL,STIGLER,31I020,6534,44695.13078,21645.1285,0.097467383,0.193283813,0.381443299,69.85,1.8,0,0.119412942,0.66844563,0.212141428,0.6879
4399,2016,HASKELL,McCURTAIN,31I037,1014,45289.94845,22931.4359,0.1015625,0.244554455,0.358333333,229,2,0,0.097922849,0.691394659,0.210682493,0.8515
