RecordNumber,County,District,School,lat,lon
1729,TULSA,BIXBY,BIXBY MS,35.9305189,-95.8748286
1730,TULSA,BIXBY,BIXBY HS,35.934935,-95.874322
1731,TULSA,JENKS,JENKS EAST ES,36.0265119,-95.969335
1732,TULSA,JENKS,JENKS WEST ES,36.0265119,-95.969335
1733,TULSA,JENKS,SOUTHEAST ES,36.0265119,-95.969335
1734,TULSA,JENKS,JENKS WEST INTERMEDIATE ES,36.0265119,-95.969335
1735,TULSA,JENKS,JENKS EAST INTERMEDIATE ES,36.0265119,-95.969335
1736,TULSA,JENKS,NORTHWEST ES,36.0265119,-95.969335
1737,TULSA,JENKS,JENKS MS,36.0265119,-95.969335
1738,TULSA,JENKS,JENKS HS,36.0265119,-95.969335
1739,TULSA,COLLINSVILLE,COLLINSVILLE EC CTR,36.3691384,-95.84876
1740,TULSA,COLLINSVILLE,HERALD ES,36.3691384,-95.84876
1741,TULSA,COLLINSVILLE,COLLINSVILLE UPPER ES,36.3691384,-95.84876
1742,TULSA,COLLINSVILLE,COLLINSVILLE 6TH GRADE CENTER,36.3691384,-95.84876
1743,TULSA,COLLINSVILLE,COLLINSVILLE MS,36.3691384,-95.84876
1744,TULSA,COLLINSVILLE,COLLINSVILLE HS,36.3691384,-95.84876
1745,TULSA,SKIATOOK,MARRS ES,36.3672973,-96.000915
1746,TULSA,SKIATOOK,SKIATOOK INTERMEDIATE ES,36.3672973,-96.000915
1747,TULSA,SKIATOOK,SKIATOOK ES,36.3672973,-96.000915
1748,TULSA,SKIATOOK,NEWMAN MS,36.3672973,-96.000915
1749,TULSA,SKIATOOK,SKIATOOK HS,36.3672973,-96.000915
1750,TULSA,SPERRY,SPERRY ES,36.2977535,-95.9974822
1751,TULSA,SPERRY,SPERRY MS,36.2977535,-95.9974822
1752,TULSA,SPERRY,SPERRY HS,36.2977535,-95.9974822
1753,TULSA,UNION,GROVE ES,36.0747557,-95.8823739
1754,TULSA,UNION,BOEVERS ES,36.0747557,-95.8823739
1755,TULSA,UNION,CLARK ES,36.0747557,-95.8823739
1756,TULSA,UNION,DARNABY ES,36.0747557,-95.8823739
1757,TULSA,UNION,PETERS ES,36.0747557,-95.8823739
1758,TULSA,UNION,ANDERSEN ES,36.0747557,-95.8823739
1759,TULSA,UNION,MCAULIFFE ES,36.0747557,-95.8823739
1760,TULSA,UNION,JARMAN ES,36.0747557,-95.8823739
1761,TULSA,UNION,CEDAR RIDGE ES,36.0747557,-95.8823739
1762,TULSA,UNION,MARSHALL T. MOORE ES,36.0747557,-95.8823739
1763,TULSA,UNION,ROSA PARKS ES,36.0747557,-95.8823739
1764,TULSA,UNION,THOMAS JEFFERSON ES,36.0747557,-95.8823739
1765,TULSA,UNION,ELLEN OCHOA ES,36.0747557,-95.8823739
1766,TULSA,UNION,UNION 6TH-7TH GRADE CTR,36.0747557,-95.8823739
1767,TULSA,UNION,UNION 8TH GRADE CTR,36.0747557,-95.8823739
1768,TULSA,UNION,UNION HS,36.0747557,-95.8823739
1769,TULSA,UNION,UNION HS,36.0747557,-95.8823739
1770,TULSA,UNION,UNION HS,36.0747557,-95.8823739
1771,TULSA,UNION,UNION NINTH GRADE CENTER,36.0747557,-95.8823739
1772,TULSA,BERRYHILL,BERRYHILL ES SOUTH,36.1182481,-96.0641964
1773,TULSA,BERRYHILL,BERRYHILL MS,36.1182481,-96.0641964
1774,TULSA,BERRYHILL,BERRYHILL HS,36.1182481,-96.0641964
1775,TULSA,OWASSO,BARNES ES,36.2818489,-95.8533954
1776,TULSA,OWASSO,ATOR ES,36.2818489,-95.8533954
1777,TULSA,OWASSO,MILLS ES,36.2818489,-95.8533954
1778,TULSA,OWASSO,HAYWARD SMITH ES,36.2818489,-95.8533954
1779,TULSA,OWASSO,PAMELA HODSON ES,36.2818489,-95.8533954
1780,TULSA,OWASSO,LARKIN BAILEY ES,36.2818489,-95.8533954
1781,TULSA,OWASSO,NORTHEAST ES,36.2818489,-95.8533954
1782,TULSA,OWASSO,STONE CANYON ES,36.2818489,-95.8533954
1783,TULSA,OWASSO,OWASSO 7TH GRADE CTR,36.2818489,-95.8533954
1784,TULSA,OWASSO,OWASSO 6TH GRADE CTR,36.2818489,-95.8533954
1785,TULSA,OWASSO,OWASSO 8TH GRADE CTR,36.2818489,-95.8533954
1786,TULSA,OWASSO,OWASSO HS,36.2818489,-95.8533954
1787,TULSA,GLENPOOL,GLENPOOL ES,35.9586079,-96.0075273
1788,TULSA,GLENPOOL,GLENPOOL MS,35.9586079,-96.0075273
1789,TULSA,GLENPOOL,GLENPOOL HS,35.9586079,-96.0075273
1790,TULSA,LIBERTY,LIBERTY ES,35.872101,-95.954806
1791,TULSA,LIBERTY,LIBERTY HS,35.872101,-95.954806
1792,WAGONER,OKAY,OKAY ES,35.8509895,-95.3207168
1793,WAGONER,OKAY,OKAY HS,35.8509895,-95.3207168
1794,WAGONER,COWETA,CENTRAL ES,35.9512193,-95.6524496
1795,WAGONER,COWETA,NORTHWEST ES,35.9512193,-95.6524496
1796,WAGONER,COWETA,SOUTHSIDE ES,35.9512193,-95.6524496
1797,WAGONER,COWETA,MISSION INTERMEDIATE GRD CTR,35.9512193,-95.6524496
1798,WAGONER,COWETA,HERITAGE INTERMEDIATE GRD CTR,35.9512193,-95.6524496
1799,WAGONER,COWETA,DONALD P SLOAT JHS,35.9512193,-95.6524496
1800,WAGONER,COWETA,COWETA HS,35.9512193,-95.6524496
1801,WAGONER,COWETA,COWETA INTERMEDIATE HS,35.9512193,-95.6524496
1802,WAGONER,WAGONER,WILLIAM R. TEAGUE ES,35.9655189,-95.3653079
1803,WAGONER,WAGONER,ELLINGTON ES,35.9537556,-95.3693991
1804,WAGONER,WAGONER,CENTRAL INTERMEDIATE ES,35.9610357,-95.3746367
1805,WAGONER,WAGONER,WAGONER MS,35.9634645,-95.3584179
1806,WAGONER,WAGONER,WAGONER HS,35.9610913,-95.3597025
1807,WAGONER,PORTER CONSOLIDATED,PORTER CONSOLIDATED ES,35.8664133,-95.5228258
1808,WAGONER,PORTER CONSOLIDATED,PORTER CONSOLIDATED HS,35.8664133,-95.5228258
1809,WASHINGTON,COPAN,COPAN ES,36.895946,-95.9263937
1810,WASHINGTON,COPAN,COPAN HS,36.895946,-95.9263937
1811,WASHINGTON,DEWEY,DEWEY ES,36.8035424,-95.9369283
1812,WASHINGTON,DEWEY,DEWEY MS,36.8035424,-95.9369283
1813,WASHINGTON,DEWEY,DEWEY HS,36.8035424,-95.9369283
1814,WASHINGTON,CANEY VALLEY,CANEY VALLEY ES,36.6004284,-95.9841961
1815,WASHINGTON,CANEY VALLEY,CANEY VALLEY MS,36.5320451,-95.9267881
1816,WASHINGTON,CANEY VALLEY,CANEY VALLEY HS,36.5320451,-95.9267881
1817,WASHINGTON,BARTLESVILLE,RICHARD KANE ES,36.7409096,-95.9697194
1818,WASHINGTON,BARTLESVILLE,HOOVER ES,36.7502548,-95.917225
1819,WASHINGTON,BARTLESVILLE,JANE PHILLIPS ES,36.7356331,-95.9907765
1820,WASHINGTON,BARTLESVILLE,RANCH HEIGHTS ES,36.7338155,-95.9205122
1821,WASHINGTON,BARTLESVILLE,WAYSIDE ES,36.718768,-95.944253
1822,WASHINGTON,BARTLESVILLE,WOODROW WILSON ES,36.7596518,-95.9232227
1823,WASHINGTON,BARTLESVILLE,CENTRAL MS,36.744336,-95.9739124
1824,WASHINGTON,BARTLESVILLE,MADISON MS,36.7486094,-95.9107607
1825,WASHINGTON,BARTLESVILLE,BARTLESVILLE HS,36.7330996,-95.9728108
1826,WASHITA,SENTINEL,MCMURRAY ES,35.1581101,-99.1751234
1827,WASHITA,SENTINEL,BLANCHE THOMAS HS,35.1581101,-99.1751234
1828,WASHITA,BURNS FLAT-DILL CITY,WILL ROGERS ES,35.3557537,-99.1707087
1829,WASHITA,BURNS FLAT-DILL CITY,BURNS FLAT-DILL CITY HS,35.3557537,-99.1707087
1830,WASHITA,CANUTE,CANUTE ES,35.4222953,-99.275001
1831,WASHITA,CANUTE,CANUTE HS,35.4222953,-99.275001
1832,WASHITA,CORDELL,CORDELL ES,35.2926141,-98.9893001
1833,WASHITA,CORDELL,CORDELL JHS,35.2926141,-98.9893001
1834,WASHITA,CORDELL,CORDELL HS,35.2926141,-98.9893001
1835,WOODS,ALVA,LINCOLN ES,36.7906711,-98.66788
1836,WOODS,ALVA,LONGFELLOW ES,36.8033745,-98.6580389
1837,WOODS,ALVA,WASHINGTON ES,36.8035487,-98.6492826
1838,WOODS,ALVA,ALVA MS,36.8054894,-98.6708024
1839,WOODS,ALVA,ALVA HS,36.8004474,-98.6797921
1840,WOODS,WAYNOKA,WAYNOKA ES,36.5798033,-98.8712642
1841,WOODS,WAYNOKA,WAYNOKA HS,36.5798033,-98.8712642
1842,WOODS,FREEDOM,FREEDOM ES,36.7688748,-99.1147363
1843,WOODS,FREEDOM,FREEDOM HS,36.7688748,-99.1147363
1844,WOODWARD,WOODWARD,CEDAR HEIGHTS ES,36.4260223,-99.3905541
1845,WOODWARD,WOODWARD,HORACE MANN ES,36.4260223,-99.3905541
1846,WOODWARD,WOODWARD,WOODWARD EC CTR,36.4260223,-99.3905541
1847,WOODWARD,WOODWARD,HIGHLAND PARK ES,36.4260223,-99.3905541
1848,WOODWARD,WOODWARD,WOODWARD MS SOUTH CAMPUS,36.4260223,-99.3905541
1849,WOODWARD,WOODWARD,WOODWARD MS NORTH CAMPUS,36.4260223,-99.3905541
1850,WOODWARD,WOODWARD,WOODWARD HS,36.4260223,-99.3905541
1851,WOODWARD,MOORELAND,MOORELAND ES,36.4378629,-99.204534
1852,WOODWARD,MOORELAND,MOORELAND HS,36.4378629,-99.204534
1853,WOODWARD,SHARON-MUTUAL,SHARON-MUTUAL ES,36.2748993,-99.3379084
1854,WOODWARD,SHARON-MUTUAL,SHARON-MUTUAL HS,36.2296685,-99.1714588
1855,WOODWARD,FORT SUPPLY,FORT SUPPLY ES,36.5716011,-99.5706703
1856,WOODWARD,FORT SUPPLY,FORT SUPPLY HS,36.5716011,-99.5706703
