16I001105,CACHE PRIMARY ELEMENTARY,43512.5461
16I001110,CACHE INTERMEDIATE ELEMENTARY SCHOOL,45727.2016
16I001505,CACHE MIDDLE SCHOOL,42781.4548
16I001530,CACHE 5TH AND 6TH GRADE MIDDLE SCHOOL,47073.1691
16I001705,CACHE HIGH SCHOOL,47800.7492
16I002105,INDIAHOMA ELEMENTARY,37130.579
16I002705,INDIAHOMA HIGH SCHOOL,41404.9534
16I003105,STERLING ELEMENTARY,46791.5882
16I003705,STERLING HIGH SCHOOL,50891.3652
16I004105,GERONIMO ELEMENTARY,42466.8772
16I004505,GERONIMO MIDDLE SCHOOL,40950.1473
16I004705,GERONIMO HIGH SCHOOL,41235.5658
16I008105,ADAMS ELEMENTARY,44504.3333
16I008106,ALMOR WEST ELEMENTARY,45149.9412
16I008107,BROCKLAND ELEMENTARY,45797.5
16I008108,CARRIAGE HILLS ELEMENTARY,42277.3125
16I008110,CLEVELAND ELEMENTARY,45448.5294
16I008114,CROSBY PARK ELEMENTARY,49666.0833
16I008122,EDISON ELEMENTARY,45554.7999
16I008125,EISENHOWER ELEMENTARY,39335.8736
16I008135,GERONIMO ROAD ELEMENTARY,43991.2692
16I008140,RIDGECREST ELEMENTARY,42536.4164
16I008148,HUGH BISH ELEMENTARY,42825.3125
16I008160,BEGINNINGS ACADEMY,42921.5515
16I008165,LINCOLN ELEMENTARY,44311.1044
16I008167,PARK LANE ELEMENTARY,47369.3364
16I008168,PAT HENRY ELEMENTARY,44923.0794
16I008173,PIONEER PARK ELEMENTARY,46562.7336
16I008180,SHERIDAN ROAD ELEMENTARY,45411.2097
16I008183,SULLIVAN VILLAGE ELEMENTARY,45276.2018
16I008185,SWINNEY ELEMENTARY,44297.5502
16I008195,WASHINGTON ELEMENTARY,45614.9315
16I008200,LEARNING TREE ACADEMY,44293.7143
16I008205,WHITTIER ELEMENTARY,42609.8945
16I008215,WILSON ELEMENTARY,44666.4085
16I008220,WOODLAND HILLS ELEMENTARY,42119.4769
16I008530,MacARTHUR MIDDLE SCHOOL,46435.8356
16I008535,CENTRAL MIDDLE SCHOOL,45107.3089
16I008540,TOMLINSON MIDDLE SCHOOL,45699.1302
16I008545,EISENHOWER MIDDLE SCHOOL,47085.6615
16I008705,EISENHOWER HIGH SCHOOL,47489.6535
16I008710,LAWTON HIGH SCHOOL,45822.4839
16I008715,MacARTHUR HIGH SCHOOL,48229.7482
16I009105,FLETCHER ELEMENTARY,41491.5078
16I009615,FLETCHER JR HIGH SCHOOL,42511.6624
16I009715,FLETCHER HIGH SCHOOL,43971.2614
16I016105,ELGIN ELEMENTARY,41255.2424
16I016505,ELGIN MIDDLE SCHOOL,41436.7217
16I016705,ELGIN HIGH SCHOOL,44478.7984
16I132105,CHATTANOOGA ELEMENTARY,43584.7255
16I132705,CHATTANOOGA HIGH SCHOOL,46812.1154
17I001105,WALTERS ELEMENTARY,44972.8095
17I001505,WALTERS MIDDLE SCHOOL,36740.9356
17I001705,WALTERS HIGH SCHOOL,42823.8152
17I101105,TEMPLE ELEMENTARY,40126.6667
17I101715,TEMPLE HIGH SCHOOL,41193.494
17I333105,BIG PASTURE ELEMENTARY,42678.5263
17I333705,BIG PASTURE HIGH SCHOOL,42818.1176
18C001105,WHITE OAK ELEMENTARY,40550.4
18I006105,KETCHUM ELEMENTARY,43344.2336
18I006505,KETCHUM MIDDLE SCHOOL,45761.8504
18I006705,KETCHUM HIGH SCHOOL,43092.6086
18I017115,WELCH ELEMENTARY,43587.6421
18I017515,WELCH MIDDLE SCHOOL,43366.8733
18I017715,WELCH HIGH SCHOOL,47146.2977
18I020105,BLUEJACKET ELEMENTARY,41840.5286
18I020505,BLUEJACKET MIDDLE SCHOOL,40447.1399
18I020705,BLUEJACKET HIGH SCHOOL,44745.5672
18I065200,VINITA ELEMENTARY,45905.105
18I065510,EWING HALSELL MIDDLE SCHOOL,44285.2757
18I065705,VINITA HIGH SCHOOL,45726.413
