RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
13115,2015,40I091715,40I091,"ARKOMA HIGH SCHOOL",34733.61,15185.73,0.15,0.34,0.27,0.802,0.09,0.65,0.26
14875,2016,40I091715,40I091,"ARKOMA HIGH SCHOOL",36394.31,17031.53,0.16,0.30,0.37,0.750,0.11,0.67,0.22
13114,2015,40I091605,40I091,"ARKOMA JR HIGH SCHOOL",34733.61,15185.73,0.15,0.34,0.27,0.690,0.09,0.65,0.26
14874,2016,40I091605,40I091,"ARKOMA JR HIGH SCHOOL",36394.31,17031.53,0.16,0.30,0.37,0.870,0.11,0.67,0.22
11081,2014,23I003105,23I003,"ARNETT ELEMENTARY",75769.00,154291.00,0.04,0.07,0.12,0.460,0.27,0.64,0.10
12849,2015,23I003105,23I003,"ARNETT ELEMENTARY",87059.21,177633.55,0.04,0.10,0.16,0.490,0.27,0.62,0.11
14608,2016,23I003105,23I003,"ARNETT ELEMENTARY",87313.33,138362.72,0.04,0.09,0.26,0.546,0.25,0.63,0.12
11082,2014,23I003705,23I003,"ARNETT HIGH SCHOOL",75769.00,154291.00,0.04,0.07,0.12,0.200,0.27,0.64,0.10
12850,2015,23I003705,23I003,"ARNETT HIGH SCHOOL",87059.21,177633.55,0.04,0.10,0.16,0.357,0.27,0.62,0.11
14609,2016,23I003705,23I003,"ARNETT HIGH SCHOOL",87313.33,138362.72,0.04,0.09,0.26,0.310,0.25,0.63,0.12
13996,2015,72I003103,72I003,"ARROW SPRINGS EARLY CHILDHOOD CENTER",78668.01,44028.20,0.06,0.08,0.27,0.377,0.29,0.64,0.07
15756,2016,72I003103,72I003,"ARROW SPRINGS EARLY CHILDHOOD CENTER",78767.80,44984.51,0.06,0.08,0.30,0.447,0.29,0.64,0.06
12237,2014,72I003120,72I003,"ARROWHEAD ELEMENTARY",77858.00,42674.00,0.06,0.08,0.25,0.600,0.29,0.65,0.07
14000,2015,72I003120,72I003,"ARROWHEAD ELEMENTARY",78668.01,44028.20,0.06,0.08,0.27,0.542,0.29,0.64,0.07
15760,2016,72I003120,72I003,"ARROWHEAD ELEMENTARY",78767.80,44984.51,0.06,0.08,0.30,0.604,0.29,0.64,0.06
