RecordNumber,Yr,County,DistrictName,DistrictCode,DistrictPop,AvgIncome,AvgPropVal,Unemployment,Poverty,SingleParentFam,StdntOffdr,OffnsOffdr,NCNTGang,CollegeEd,HSDiploma,BelowHS,FRL
4261,2016,CANADIAN,BANNER,09C031,2190,96094.81,279468.65,0.08,0.08,0.21,0.0,0.0,0.00,0.30,0.55,0.15,0.422
4269,2016,CANADIAN,CALUMET,09I076,1351,85273.81,281839.77,0.06,0.13,0.33,0.0,0.0,0.00,0.18,0.70,0.12,0.741
3752,2015,CANADIAN,CALUMET,09I076,1268,71279.91,245347.67,0.06,0.12,0.28,0.2,0.7,0.13,93.00,1.00,0.00,0.688
3234,2014,CANADIAN,CALUMET,09I076,1088,69144.50,241968.75,0.08,0.12,0.31,0.0,0.0,0.00,0.70,0.14,0.16,0.663
3227,2014,CANADIAN,DARLINGTON,09C070,693,77717.65,106986.71,0.01,0.04,0.04,243.0,1.0,0.00,0.70,0.07,0.22,0.868
4262,2016,CANADIAN,DARLINGTON,09C070,657,78783.66,123821.36,0.01,0.02,0.04,0.0,0.0,0.00,0.25,0.69,0.06,0.861
3745,2015,CANADIAN,DARLINGTON,09C070,664,78983.91,110414.39,0.01,0.04,0.06,0.2,0.7,0.07,0.00,0.00,0.00,0.863
3749,2015,CANADIAN,"EL RENO",09I034,16169,59138.17,25086.24,0.08,0.14,0.37,0.1,0.7,0.15,150.24,2.53,0.00,0.637
3231,2014,CANADIAN,"EL RENO",09I034,16063,56232.42,24090.57,0.08,0.14,0.37,124.8,1.8,1.00,0.75,0.16,0.09,0.715
4266,2016,CANADIAN,"EL RENO",09I034,16493,60315.50,24895.16,0.07,0.14,0.37,105.4,1.5,0.00,0.12,0.73,0.15,0.680
4263,2016,CANADIAN,MAPLE,09C162,701,86804.94,351620.41,0.14,0.10,0.16,0.0,0.0,0.00,0.18,0.67,0.15,0.317
3746,2015,CANADIAN,MAPLE,09C162,661,75850.21,328502.45,0.11,0.11,0.22,0.2,0.6,0.20,0.00,0.00,0.00,0.287
3228,2014,CANADIAN,MAPLE,09C162,629,74478.02,362540.65,0.07,0.11,0.19,0.0,0.0,0.00,0.63,0.17,0.20,0.290
3233,2014,CANADIAN,MUSTANG,09I069,47666,78773.46,41667.61,0.05,0.05,0.25,226.7,2.0,0.00,0.67,0.08,0.26,0.351
4268,2016,CANADIAN,MUSTANG,09I069,51213,80463.04,44100.02,0.04,0.06,0.25,263.4,1.6,1.00,0.25,0.68,0.07,0.361
3751,2015,CANADIAN,MUSTANG,09I069,49404,80770.95,41908.13,0.05,0.06,0.25,0.3,0.7,0.07,223.30,2.06,2.00,0.302
3747,2015,CANADIAN,PIEDMONT,09I022,13633,102464.01,41688.55,0.04,0.04,0.11,0.4,0.5,0.05,427.13,2.13,0.00,0.212
3229,2014,CANADIAN,PIEDMONT,09I022,13432,92292.81,40082.00,0.04,0.04,0.10,465.9,2.6,0.00,0.55,0.06,0.39,0.219
4264,2016,CANADIAN,PIEDMONT,09I022,13671,96974.43,43118.98,0.03,0.04,0.16,1824.5,1.5,0.00,0.44,0.50,0.06,0.202
4260,2016,CANADIAN,RIVERSIDE,09C029,1595,72838.67,201695.75,0.06,0.17,0.37,173.0,1.0,0.00,0.22,0.65,0.13,0.775
3743,2015,CANADIAN,RIVERSIDE,09C029,1488,75443.57,222688.20,0.05,0.15,0.30,0.2,0.6,0.18,0.00,0.00,0.00,0.716
3225,2014,CANADIAN,RIVERSIDE,09C029,1426,81484.01,213398.43,0.03,0.14,0.26,0.0,0.0,0.00,0.61,0.16,0.23,0.645
