RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2015,56I005110,56I005,PRESTON ELEMENTARY,389,21.832,41571.1799,0.2061,10.3819,0.5,0.166,0.417,1,,,,,,
,2015,56I005705,56I005,PRESTON HIGH SCHOOL,181,8.501,44980.4729,0.2354,13.9999,0.5,0.5,0.417,1,7,7,4,9,4,5
,2015,56I006105,56I006,SCHULTER ELEMENTARY,104,9.259,40632.4657,0.1846,12.6378,1,0.286,0.286,0.571,,,,,,
,2015,56I006705,56I006,SCHULTER HIGH SCHOOL,41,3.999,43375.5939,0.3928,17.9965,0,0.286,0.285,0.4,12,3,3,3,0,2
,2015,56I007105,56I007,WILSON ELEMENTARY,159,10.864,47400.9573,0.303,14.9706,0.929,0.214,0.5,0.714,,,,,,
,2015,56I007705,56I007,WILSON HIGH SCHOOL,77,6.071,45012.3538,0.4465,11.5755,0.5,0.357,0.357,0.428,6.5,4,4,4,0,0
,2015,56I008105,56I008,DEWAR ELEMENTARY,198,11.378,43360.9597,0.3261,11.9919,0.29,0.017,0.642,0.519,,,,,,
,2015,56I008515,56I008,DEWAR MIDDLE SCHOOL,97,7.064,44802.3783,0.4367,17.001,0.29,0.017,0.147,0,,,,,,
,2015,56I008715,56I008,DEWAR HIGH SCHOOL,117,8.607,45184.7334,0.478,19.3534,0.28,0.017,0.142,0.58,5,4,7,3,4,2
,2015,57C003105,57C003,OSAGE HILLS ELEMENTARY,182,10.303,41109.1915,0.0966,10.3336,0.69,0,1.1,1.32,,,,,,
,2015,57C007105,57C007,BOWRING ELEMENTARY,75,5.7,38625.7895,0,11.7544,0.5,0,0.2,0.4,,,,,,
,2015,57C035105,57C035,AVANT ELEMENTARY,80,5.76,41699.6528,0.1319,9.2569,1,0,0.24,0.198,,,,,,
,2015,57C052105,57C052,ANDERSON ELEMENTARY,271,17.6,43508.8636,0.1136,11.8409,1,0,2,0,,,,,,
,2015,57C077105,57C077,McCORD ELEMENTARY,263,14.667,44754.0738,0.1364,10.6706,1,0.667,0.5,0.5,,,,,,
,2015,57I002110,57I002,INDIAN CAMP ELEMENTARY,217,13.494,42250.7781,0.127,11.4159,1.429,0,1.786,1,,,,,,
,2015,57I002115,57I002,PAWHUSKA ELEMENTARY,375,22.031,42438.6546,0.2191,15.2045,3,0,3.644,1,,,,,,
,2015,57I002705,57I002,PAWHUSKA HIGH SCHOOL,239,15.218,39376.9878,0.3546,14.0794,1.428,1,2.35,1,10,7,10,5,5,2
,2015,57I011105,57I011,WARD ELEMENTARY,105,7.534,42791.2132,0.2655,14.0544,0,0.333,0.33,0,,,,,,
,2015,57I011505,57I011,SHIDLER MIDDLE SCHOOL,63,5.333,43613.7259,0.375,13.9991,0,0.333,0.33,0.6,,,,,,
,2015,57I011715,57I011,SHIDLER HIGH SCHOOL,68,4.433,49752.0866,0.2256,12.871,0,0.334,0.33,0.5,7,5,4,6,2,0
,2015,57I029105,57I029,BARNSDALL ELEMENTARY,220,14,41671.1429,0.1429,11.6429,0.653,0,1.142,1,,,,,,
,2015,57I029615,57I029,BARNSDALL JR HIGH SCHOOL,89,4.555,40309.3304,0.3098,9.5361,0.5,0.5,0.286,0.928,,,,,,
,2015,57I029715,57I029,BARNSDALL HIGH SCHOOL,126,8.624,42044.9907,0.321,12.102,0.5,0.5,0.286,0.929,7,5,5.5,6,4,0
,2015,57I030105,57I030,WYNONA ELEMENTARY,96,5.928,45801.6194,0.0843,16.0732,0.429,0.072,0,0.143,,,,,,
,2015,57I030705,57I030,WYNONA HIGH SCHOOL,28,2.572,42837.8694,0,24.3849,0.429,0.071,0,0.143,5,1,2,3,1,0
,2015,57I038105,57I038,HORACE MANN ELEMENTARY,214,12.143,44580.1696,0.1647,17.559,2,0,0.2,0.7,,,,,,
,2015,57I038110,57I038,HOMINY EARLY CHILDHOOD CENTER,81,3,40422.3333,0,14.3333,0,0,0.2,0.2,,,,,,
,2015,57I038505,57I038,HOMINY MIDDLE SCHOOL,124,6.714,42305.0343,0.2023,17.6667,1,0,0.2,0.429,,,,,,
,2015,57I038705,57I038,HOMINY HIGH SCHOOL,163,11.642,44780.2783,0.233,15.0067,0.714,1,0.2,1.143,7,6,7,6,2,3
,2015,57I050105,57I050,PRUE ELEMENTARY,229,11.17,40016.2936,0,10.5622,2,0.5,0.5,1,,,,,,
,2015,57I050705,57I050,PRUE HIGH SCHOOL,99,6.67,39180.06,0.3508,6.5757,1,0.5,0.5,0.6,6,5,5,5,5,0
,2015,57I090105,57I090,WOODLAND ELEMENTARY,199,14.468,43022.1869,0.1382,15.7282,2,0,1,1.933,,,,,,
,2015,57I090110,57I090,WOODLAND UPPER ELEMENTARY,124,5.005,44938.6613,0.7431,17.0148,0,0,0,0.041,,,,,,
,2015,57I090705,57I090,WOODLAND HIGH SCHOOL,115,7.852,46092.9699,0.5452,14.6802,1,0.519,0,1,5,6,6,5.5,0,1
,2015,58C010105,58C010,TURKEY FORD ELEMENTARY,98,7.111,40036.8443,0.2109,10.3751,0.8,0,2.5,0.4,,,,,,
,2015,58I001105,58I001,WYANDOTTE ELEMENTARY,394,22.429,44521.2448,0.1528,11.3373,2.428,0,0.333,1,,,,,,
,2015,58I001505,58I001,WYANDOTTE MIDDLE SCHOOL,175,11.144,44793.4314,0.218,9.9744,1.143,0,2.19,0.857,,,,,,
,2015,58I001715,58I001,WYANDOTTE HIGH SCHOOL,248,16.569,43158.9112,0.3449,9.025,1.286,0.334,1.335,1,7,7,7,3.5,9,2
,2015,58I014105,58I014,QUAPAW ELEMENTARY,314,16.427,43016.3755,0.2174,10.6342,1,0.143,2,1,,,,,,
,2015,58I014510,58I014,QUAPAW MIDDLE SCHOOL,138,8.293,45577.7161,0.2418,19.1849,2,0.286,0.286,1,,,,,,
,2015,58I014705,58I014,QUAPAW HIGH SCHOOL,166,11.57,48133.9672,0.1234,17.1982,0,0.429,0.429,1,6,7,5,4.5,6,2
,2015,58I018105,58I018,ALEXANDER ELEMENTARY,469,24,45467.0833,0.1667,14.875,2,1,1,2,,,,,,
,2015,58I018505,58I018,COMMERCE MIDDLE SCHOOL,179,11.166,47645.1728,0.2986,18.7015,1.5,0.5,0.5,1,,,,,,
,2015,58I018705,58I018,COMMERCE HIGH SCHOOL,235,15.112,44558.3642,0.4595,12.1364,2.5,1,0.5,1,7,6,6,3,12,3
,2015,58I023110,58I023,NICHOLS ELEMENTARY,448,17.286,42465.5212,0.1157,8.4054,1,0.5,2.5,1,,,,,,
,2015,58I023115,58I023,ROCKDALE ELEMENTARY,196,7,40951.1429,0.1429,6.5,0,0.4,0.5,0.6,,,,,,
,2015,58I023120,58I023,ROOSEVELT ELEMENTARY,213,11,42028.3636,0.0909,6.8636,1,0.5,1,1,,,,,,
,2015,58I023130,58I023,WASHINGTON ELEMENTARY,264,13,44250.8462,0.2308,10.9615,1.5,0.5,0.711,1,,,,,,
,2015,58I023135,58I023,WILSON ELEMENTARY,225,11.995,43670.6961,0.0834,11.0411,0.918,0.5,0.711,1,,,,,,
,2015,58I023505,58I023,WILL ROGERS MIDDLE SCHOOL,505,28.633,42795.5855,0.2404,8.5769,4.167,2,2.999,2,,,,,,
,2015,58I023705,58I023,MIAMI HIGH SCHOOL,675,41.409,45766.5966,0.2462,10.7784,6.008,2,1.582,3.325,7.5,6,6,4.5,5,2
