Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2015,19I003705,19I003,MANNFORD HIGH SCHOOL,60463.32,25339.09,0.05,0.13,0.39,0.526,0.12,0.74,0.13,494,31.51,42804.7,0.134,13.66,4.83,1.25,0.84,3.17
2016,19I003705,19I003,MANNFORD HIGH SCHOOL,58558.02,28034.24,0.05,0.13,0.4,0.561,0.14,0.7,0.15,499,27.8,44609.18,0.118,16.36,4.83,1.25,0.83,3.83
2014,19I003105,19I003,MANNFORD LOWER ELEMENTARY,59539,24095,0.06,0.12,0.29,0.78,0.13,0.73,0.14,323,19,39804.37,0.158,14.87,1.75,0.5,2,1
2015,19I003105,19I003,MANNFORD LOWER ELEMENTARY,60463.32,25339.09,0.05,0.13,0.39,0.736,0.12,0.74,0.13,337,18.75,39962.89,0.186,15.29,2,0.5,3,1
2016,19I003105,19I003,MANNFORD LOWER ELEMENTARY,58558.02,28034.24,0.05,0.13,0.4,0.733,0.14,0.7,0.15,344,20,41944.25,0.175,17.73,2,0.5,2,1
2014,19I003500,19I003,MANNFORD MIDDLE SCHOOL,59539,24095,0.06,0.12,0.29,0.68,0.13,0.73,0.14,323,18.56,41697.18,0.13,11.06,3,0.75,0.5,2
2015,19I003500,19I003,MANNFORD MIDDLE SCHOOL,60463.32,25339.09,0.05,0.13,0.39,0.618,0.12,0.74,0.13,340,19.38,40814.32,0.035,12.83,3,0.75,0.5,2
2016,19I003500,19I003,MANNFORD MIDDLE SCHOOL,58558.02,28034.24,0.05,0.13,0.4,0.669,0.14,0.7,0.15,359,17.91,42397.81,0.084,14.45,3,0.75,0.5,2
2014,19I003110,19I003,MANNFORD UPPER ELEMENTARY,59539,24095,0.06,0.12,0.29,0.7,0.13,0.73,0.14,211,11.25,39992.09,0.178,9.71,0.33,0.25,0.75,1
2015,19I003110,19I003,MANNFORD UPPER ELEMENTARY,60463.32,25339.09,0.05,0.13,0.39,0.722,0.12,0.74,0.13,205,10.27,42145.76,0.44,13.61,2,0.25,0.75,1
2016,19I003110,19I003,MANNFORD UPPER ELEMENTARY,58558.02,28034.24,0.05,0.13,0.4,0.801,0.14,0.7,0.15,221,10.75,41537.12,0.372,11.53,2,0.25,0.75,1
2014,35C007105,35C007,MANNSVILLE ELEMENTARY,46912,74200,0.03,0.13,0.33,0.86,0.13,0.66,0.21,98,8.86,39336.23,0.21,12.43,0.5,0,0.14,0.36
2015,35C007105,35C007,MANNSVILLE ELEMENTARY,49570.79,73860.47,0.06,0.15,0.33,0.853,0.14,0.64,0.23,95,8.86,41913.32,0.21,11.62,0,0,0.14,1
2016,35C007105,35C007,MANNSVILLE ELEMENTARY,51709.84,72305.75,0.06,0.19,0.31,0.898,0.11,0.71,0.19,98,8.28,32722.58,0.275,14.11,0,0,0.14,0.2
2014,09C162105,09C162,MAPLE ELEMENTARY,74478,362541,0.07,0.11,0.19,0.29,0.2,0.63,0.17,155,12.83,44742.61,0.189,12.7,0,0.5,0.57,0.9
2015,09C162105,09C162,MAPLE ELEMENTARY,75850.21,328502.45,0.11,0.11,0.22,0.287,0.16,0.65,0.2,157,12.68,50002.29,0.192,12.75,1,0.5,0.57,0.5
2016,09C162105,09C162,MAPLE ELEMENTARY,86804.94,351620.41,0.14,0.1,0.16,0.317,0.18,0.67,0.15,145,12.9,49418.99,0.186,15.31,1,0.5,1,0.5
