,Year,SchoolCode,SchoolName,IndexScore,LetterGrade,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2593,2015,72I003530,ONETA RIDGE MS,71.0,C,78668.01,44028.2,0.06,0.08,0.27,0.376,0.29,0.64,0.07,791.0,39.91,43142.61,0.203,9.86,9.0,2.0,7.83,3.0,0.1049,0.0721,0.0405,0.0417,0.0025,0.6574,0.0809,791.0
2595,2014,72I011510,OWASSO 7TH GRADE CTR,92.0,A,83064.0,48767.0,0.05,0.07,0.22,0.34,0.31,0.62,0.07,694.0,34.79,49020.47,0.171,16.36,5.53,1.1,2.39,2.0,0.0865,0.1398,0.0375,0.0317,0.0014,0.6873,0.0159,694.0
2596,2015,72I011510,OWASSO 7TH GRADE CTR,89.0,B,84527.13,49526.83,0.05,0.07,0.22,0.299,0.31,0.62,0.08,733.0,35.78,49050.13,0.14,16.19,4.5,1.5,3.01,2.0,0.0955,0.1637,0.0232,0.045,0.0014,0.6194,0.0518,733.0
2597,2014,72I011610,OWASSO 8TH GRADE CTR,87.0,B,83064.0,48767.0,0.05,0.07,0.22,0.28,0.31,0.62,0.07,753.0,33.43,48082.98,0.248,15.42,4.0,1.79,1.6,2.0,0.085,0.1594,0.0212,0.0518,0.0013,0.6559999999999999,0.0252,753.0
2598,2015,72I011610,OWASSO 8TH GRADE CTR,87.0,B,84527.13,49526.83,0.05,0.07,0.22,0.3,0.31,0.62,0.08,707.0,33.84,47955.52,0.24,14.46,3.24,1.81,1.98,2.0,0.0877,0.14,0.040999999999999995,0.0354,0.0014,0.6549,0.0396,707.0
2599,2014,72I001563,MONROE DEMONSTRATION MS,52.0,F,56448.0,56175.0,0.09,0.23,0.48,1.05,0.25,0.59,0.15,186.0,10.32,42697.14,0.534,7.09,1.5,0.5,0.77,1.0,0.1774,0.0484,0.0,0.6075,0.0,0.0591,0.1075,186.0
2600,2015,72I001563,MONROE DEMONSTRATION MS,46.0,F,57115.75,57723.51,0.09,0.23,0.49,1.113,0.26,0.59,0.15,238.0,13.27,38739.6,0.314,3.93,2.0,2.0,0.77,1.0,0.2185,0.0294,0.0042,0.6387,0.0,0.0378,0.0714,238.0
2601,2014,72I001573,THOREAU DEMONSTRATION ACADEMY,86.0,B,56448.0,56175.0,0.09,0.23,0.48,0.51,0.25,0.59,0.15,644.0,23.82,44448.51,0.193,8.69,5.0,3.0,1.49,2.0,0.1382,0.0683,0.0109,0.177,0.0,0.5062,0.0994,644.0
2602,2015,72I001573,THOREAU DEMONSTRATION ACADEMY,83.0,B,57115.75,57723.51,0.09,0.23,0.49,0.44799999999999995,0.26,0.59,0.15,647.0,24.21,42122.8,0.185,8.93,4.0,3.0,1.26,2.0,0.1221,0.0757,0.0108,0.1453,0.0,0.5332,0.1128,647.0
2603,2014,72I009510,UNION 6TH-7TH GRADE CTR,75.0,C,68895.0,48109.0,0.06,0.12,0.35,0.65,0.33,0.57,0.1,2272.0,111.72,44042.12,0.242,10.75,12.88,4.0,8.09,5.92,0.2764,0.055,0.0695,0.1589,0.0009,0.3812,0.0581,2226.0
2604,2015,72I009510,UNION 6TH-7TH GRADE CTR,72.0,C,69989.81,48711.63,0.05,0.13,0.37,0.6779999999999999,0.33,0.57,0.1,2226.0,104.79,43970.19,0.28,10.14,13.01,3.6,10.16,6.89,0.2875,0.0575,0.0687,0.1509,0.0004,0.36700000000000005,0.0678,2226.0
2605,2015,74I030510,MADISON MS,81.0,B,67816.34,45108.64,0.06,0.15,0.31,0.42100000000000004,0.3,0.6,0.1,601.0,38.73,43100.49,0.129,10.63,4.5,2.0,2.33,2.0,0.1231,0.0715,0.0216,0.0316,0.0,0.5557,0.1963,601.0
2608,2014,01I025505,STILWELL MS,65.0,D,35343.0,21321.0,0.08,0.32,0.42,0.81,0.11,0.65,0.24,301.0,20.24,42604.98,0.309,15.64,3.71,1.0,0.5,1.0,0.1229,0.6379,0.0066,0.0,0.0,0.2292,0.0033,301.0
2609,2014,09I069505,MUSTANG MS,85.0,B,78773.0,41668.0,0.05,0.05,0.25,0.36,0.26,0.67,0.08,656.0,39.35,44628.11,0.256,9.84,5.05,2.1,2.75,3.0,0.0884,0.0793,0.0198,0.0183,0.0,0.7378,0.0564,656.0
2610,2015,09I022510,PIEDMONT MS,86.0,B,102464.01,41688.55,0.04,0.04,0.11,0.22899999999999998,0.43,0.52,0.05,490.0,25.46,42081.62,0.168,9.82,2.71,1.28,1.66,1.5,0.0796,0.1204,0.0408,0.0551,0.0,0.6837,0.0204,490.0
2611,2014,14I002685,CENTRAL JHS,84.0,B,72627.0,41624.0,0.05,0.09,0.26,0.5,0.26,0.65,0.09,576.0,29.64,45678.27,0.239,12.3,8.0,2.0,3.0,2.0,0.1302,0.0712,0.0208,0.0764,0.0035,0.4792,0.2188,576.0
2612,2015,14I002655,HIGHLAND WEST JHS,81.0,B,74017.72,43667.52,0.05,0.09,0.28,0.615,0.26,0.66,0.09,603.0,26.32,43565.8,0.19,8.67,9.0,2.0,2.82,2.0,0.1542,0.0697,0.0216,0.068,0.0,0.4892,0.1973,603.0
2613,2014,14I040510,CURTIS INGE MS,79.0,C,60256.0,24618.0,0.08,0.13,0.4,0.67,0.17,0.7,0.13,628.0,35.57,47772.13,0.185,15.49,5.0,2.0,1.5,3.0,0.051,0.172,0.0064,0.0239,0.0,0.7468,0.0,628.0
2614,2014,24I057515,DEWITT WALLER MS,73.0,C,56810.0,33323.0,0.06,0.16,0.35,0.59,0.22,0.63,0.15,612.0,30.89,46075.66,0.456,14.69,7.71,1.33,1.65,2.0,0.1029,0.0196,0.0229,0.0507,0.0163,0.6814,0.1062,612.0
2615,2015,24I057515,DEWITT WALLER MS,69.0,D,58949.32,34706.02,0.06,0.14,0.34,0.524,0.21,0.64,0.15,657.0,33.14,46023.72,0.431,13.89,8.65,2.0,1.56,2.0,0.1172,0.0244,0.0198,0.0426,0.0213,0.6712,0.1035,657.0
2616,2014,41I001610,CHANDLER JHS,92.0,A,52945.0,30687.0,0.08,0.12,0.3,0.42,0.13,0.75,0.12,170.0,11.49,43965.27,0.174,16.61,0.99,0.8,0.39,1.0,0.0118,0.1824,0.0176,0.0353,0.0059,0.7176,0.0294,170.0
2617,2015,42I001610,GUTHRIE JHS,84.0,B,60117.28,37604.64,0.06,0.16,0.31,0.633,0.24,0.67,0.1,501.0,32.23,42616.18,0.325,12.3,3.98,1.0,2.08,2.0,0.1038,0.0499,0.004,0.0699,0.0,0.6647,0.1078,501.0
2618,2015,48I006610,HAWORTH JHS,72.0,C,45748.57,11704.63,0.08,0.19,0.41,0.743,0.11,0.66,0.23,113.0,9.84,44600.69,0.23,13.49,0.5,0.5,0.67,1.0,0.0619,0.177,0.0088,0.0973,0.0,0.6283,0.0265,113.0
2619,2015,55I001520,COOPER MS,78.0,C,63282.81,50214.98,0.06,0.17,0.4,0.7929999999999999,0.32,0.58,0.11,651.0,40.83,46833.01,0.147,8.76,5.0,2.0,4.9,2.0,0.1444,0.0184,0.0676,0.3917,0.0061,0.298,0.0737,651.0
2620,2014,62I019610,ADA JHS,80.0,B,47161.0,36217.0,0.09,0.26,0.46,0.62,0.33,0.54,0.14,557.0,41.58,44050.91,0.703,12.13,6.86,2.0,1.17,2.0,0.0772,0.3339,0.0108,0.0431,0.0018,0.4381,0.0952,557.0
2621,2015,66I004505,OOLOGAH-TALALA MS,83.0,B,79565.83,70171.22,0.06,0.07,0.22,0.46299999999999997,0.25,0.68,0.07,415.0,23.66,45299.44,0.19699999999999998,17.55,2.38,1.0,1.0,2.0,0.040999999999999995,0.2627,0.0458,0.0024,0.0,0.5855,0.0627,415.0
